GO_terms	Class	Description
GO:0016718	MF	obsolete oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, miscellaneous 
GO:0016729	MF	obsolete oxidoreductase activity, acting on CH2 groups, other acceptors 
GO:0016733	MF	obsolete iron-iron nitrogenase activity
GO:0016734	MF	obsolete molybdenum-iron nitrogenase activity
GO:0016735	MF	obsolete vanadium-iron nitrogenase activity
GO:0016739	MF	obsolete oxidoreductase activity, acting on other substrates 
GO:0016764	MF	obsolete transferase activity, transferring other glycosyl groups 
GO:0016771	MF	obsolete transferase activity, transferring other nitrogenous groups 
GO:0016804	MF	obsolete prolyl aminopeptidase activity
GO:0016806	MF	obsolete dipeptidyl-peptidase and tripeptidyl-peptidase activity
GO:0016808	MF	obsolete proprotein convertase activity
GO:0016816	MF	obsolete hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in other compounds 
GO:0016821	MF	obsolete hydrolase activity, acting on acid anhydrides, involved in cellular and subcellular movement 
GO:0016834	MF	obsolete other carbon-carbon lyase activity
GO:0016839	MF	obsolete other carbon-oxygen lyase activity
GO:0016845	MF	obsolete other carbon-nitrogen lyase activity
GO:0016850	MF	obsolete other lyase activity
GO:0016858	MF	obsolete racemase and epimerase activity, acting on other compounds 
GO:0016865	MF	obsolete intramolecular oxidoreductase activity, other intramolecular oxidoreductases 
GO:0016870	MF	obsolete intramolecular transferase activity, transferring other groups 
GO:0016873	MF	obsolete other isomerase activity
GO:0016883	MF	obsolete other carbon-nitrogen ligase activity
GO:0016902	MF	obsolete oxidoreductase activity, acting on the CH-OH group of donors, other acceptors 
GO:0016910	MF	obsolete SAP kinase 3 activity
GO:0016911	MF	obsolete SAP kinase 4 activity
GO:0016912	MF	obsolete SAP kinase 5 activity
GO:0016915	MF	obsolete activin
GO:0016916	MF	obsolete inhibin
GO:0016918	MF	retinal binding
GO:0016919	MF	obsolete nardilysin activity
GO:0016921	MF	obsolete pyroglutamyl-peptidase II activity
GO:0016923	MF	obsolete ligand-dependent thyroid hormone receptor interactor activity
GO:0016931	MF	vasopressin receptor activity
GO:0016942	CC	insulin-like growth factor binding protein complex
GO:0016943	MF	obsolete RNA polymerase I transcription elongation factor activity
GO:0016944	MF	obsolete RNA polymerase II transcription elongation factor activity
GO:0016945	MF	obsolete RNA polymerase III transcription elongation factor activity
GO:0016946	MF	obsolete cathepsin F activity
GO:0016962	MF	obsolete receptor-associated protein activity
GO:0016963	MF	obsolete alpha-2 macroglobulin receptor-associated protein activity
GO:0016969	MF	obsolete hemerythrin
GO:0016970	MF	obsolete hemocyanin
GO:0016975	MF	obsolete alpha-2 macroglobulin
GO:0016986	MF	obsolete transcription initiation factor activity
GO:0016988	MF	obsolete transcription initiation factor antagonist activity
GO:0017021	MF	obsolete myosin phosphatase myosin binding
GO:0017026	MF	obsolete procollagen C-endopeptidase activity
GO:0017027	MF	obsolete transmembrane receptor protein serine/threonine kinase receptor-associated protein activity
GO:0017028	MF	obsolete protein stabilization activity
GO:0017029	MF	obsolete lysosomal protein stabilization
GO:0017030	MF	obsolete beta-galactosidase stabilization activity
GO:0017037	BP	larval behavior
GO:0017039	MF	obsolete dipeptidyl-peptidase III activity
GO:0017043	MF	obsolete adrenocorticotropin
GO:0017052	CC	obsolete insulin-like growth factor binding protein
GO:0017063	MF	obsolete phosphatidylserine-specific phospholipase A1 activity
GO:0017072	MF	obsolete tubulin-specific chaperone activity
GO:0017074	MF	obsolete procollagen N-endopeptidase activity
GO:0017078	MF	obsolete Hsc70 protein regulator activity
GO:0017082	MF	obsolete mineralocorticoid receptor activity
GO:0017088	MF	obsolete X-Pro dipeptidyl-peptidase activity
GO:0017092	MF	obsolete sterol regulatory element-binding protein site 2 protease activity
GO:0017093	MF	obsolete sterol regulatory element-binding protein protease activity
GO:0017094	MF	obsolete sterol regulatory element-binding protein site 1 protease activity
GO:0017106	MF	obsolete activin inhibitor activity
GO:0017107	MF	obsolete anion exchanger adaptor activity
GO:0017114	MF	obsolete wide-spectrum protease inhibitor activity
GO:0017120	MF	obsolete polyphosphatidylinositol phosphatase activity
GO:0017135	MF	obsolete membrane-associated protein with guanylate kinase activity interacting
GO:0017139	BP	obsolete arsenate sensitivity/resistance
GO:0017141	BP	obsolete antibiotic susceptibility/resistance
GO:0017142	BP	obsolete toxin susceptibility/resistance
GO:0017149	MF	obsolete protein biosynthetic process inhibitor activity
GO:0017152	MF	obsolete DNA unwinding factor
GO:0017155	MF	obsolete sodium:hydrogen antiporter regulator activity
GO:0017163	MF	obsolete basal transcription repressor activity
GO:0017164	MF	obsolete nicotinic acetylcholine receptor-associated protein activity
GO:0017165	MF	obsolete dipeptidase E activity
GO:0017170	MF	obsolete KU70 binding
GO:0017175	MF	obsolete IMP-GMP specific 5'-nucleotidase activity
GO:0017179	BP	obsolete peptidyl-diphthine metabolic process
GO:0017180	BP	obsolete protein histidyl modification to diphthine
GO:0017181	BP	obsolete peptidyl-diphthine catabolic process
GO:0017182	BP	obsolete peptidyl-diphthamide metabolic process
GO:0017184	BP	obsolete peptidyl-diphthamide catabolic process
GO:0018018	BP	obsolete peptidyl-asparagine methylation
GO:0018033	BP	obsolete protein C-terminal amidation
GO:0018054	BP	obsolete peptidyl-lysine biotinylation
GO:0018065	BP	obsolete protein-cofactor linkage
GO:0018073	BP	obsolete protein bromination
GO:0018074	BP	obsolete peptidyl-histidine bromination
GO:0018075	BP	obsolete peptidyl-phenylalanine bromination
GO:0018077	BP	obsolete protein iodination
GO:0018078	BP	obsolete peptidyl-thyronine iodination
GO:0018079	BP	obsolete protein halogenation
GO:0018080	BP	obsolete peptidyl-tryptophan bromination
GO:0018086	BP	obsolete alanine racemization
GO:0018091	BP	obsolete peptidyl-asparagine racemization
GO:0018097	BP	obsolete protein-chromophore linkage via peptidyl-S-4-hydroxycinnamyl-L-cysteine
GO:0018101	BP	obsolete protein citrullination
GO:0018118	BP	obsolete peptidyl-L-cysteine glutathione disulfide biosynthetic process from peptidyl-cysteine
GO:0018120	BP	obsolete peptidyl-arginine ADP-ribosylation
GO:0018122	BP	obsolete peptidyl-asparagine ADP-ribosylation
GO:0018123	BP	obsolete peptidyl-cysteine ADP-ribosylation
GO:0018128	MF	obsolete peptidyl-serine cyclase activity
GO:0018135	MF	obsolete peptidyl-cysteine cyclase activity
GO:0018179	BP	obsolete peptidyl-cysteine desulfurization
GO:0018181	BP	obsolete peptidyl-arginine C5-methylation
GO:0018183	BP	obsolete enzyme active site formation via S-selenyl-L-cysteine
GO:0018196	BP	obsolete peptidyl-asparagine modification
GO:0018222	BP	obsolete peptidyl-L-cysteine methyl disulfide biosynthetic process from peptidyl-cysteine
GO:0018229	BP	obsolete peptidyl-L-cysteine methyl ester biosynthetic process from peptidyl-cysteine
GO:0018252	BP	obsolete peptide cross-linking via L-seryl-5-imidazolinone glycine
GO:0018255	BP	obsolete peptide cross-linking via S-glycyl-L-cysteine
GO:0018273	BP	obsolete protein-chromophore linkage via peptidyl-N6-retinal-L-lysine
GO:0018286	BP	obsolete iron incorporation into iron-sulfur cluster via hexakis-L-cysteinyl triiron trisulfide
GO:0018298	BP	obsolete protein-chromophore linkage
GO:0018300	BP	obsolete iron incorporation into iron-sulfur cluster via hexakis-L-cysteinyl hexairon hexasulfide
GO:0018308	BP	obsolete enzyme active site formation via N6-pyruvic acid 2-iminyl-L-lysine
GO:0018309	BP	obsolete protein-FMN linkage
GO:0018310	BP	obsolete protein-FMN linkage via S-(6-FMN)-L-cysteine
GO:0018311	BP	obsolete peptidyl-N4-hydroxymethyl-L-asparagine biosynthetic process from peptidyl-asparagine
GO:0018312	BP	obsolete peptidyl-serine ADP-ribosylation
GO:0018314	BP	obsolete protein-pyrroloquinoline-quinone linkage
GO:0018322	BP	obsolete protein tyrosinylation
GO:0018337	BP	obsolete enzyme active site formation via L-2',4',5'-topaquinone 
GO:0018338	BP	obsolete protein amino acid cinnamylation
GO:0018350	BP	obsolete protein esterification
GO:0018351	BP	obsolete peptidyl-cysteine esterification
GO:0018367	BP	obsolete free L-amino acid racemization
GO:0018368	BP	obsolete alanine racemization
GO:0018376	BP	obsolete peptidyl-asparagine hydroxylation to form L-erythro-beta-hydroxyasparagine
GO:0018390	BP	obsolete peptidyl-L-glutamic acid 5-methyl ester biosynthetic process from peptidyl-glutamic acid or peptidyl-glutamine
GO:0018397	BP	obsolete peptidyl-phenylalanine bromination to L-2'-bromophenylalanine
GO:0018398	BP	obsolete peptidyl-phenylalanine bromination to L-3'-bromophenylalanine
GO:0018399	BP	obsolete peptidyl-phenylalanine bromination to L-4'-bromophenylalanine
GO:0018407	BP	obsolete peptidyl-thyronine iodination to form 3',3'',5'-triiodo-L-thyronine 
GO:0018408	BP	obsolete peptidyl-thyronine iodination to form 3',3'',5',5''-tetraiodo-L-thyronine 
GO:0018420	BP	obsolete peptide cross-linking via N6-(L-isoaspartyl)-L-lysine
GO:0018424	BP	obsolete peptidyl-glutamic acid poly-ADP-ribosylation
GO:0018439	BP	obsolete peptidyl-L-leucine methyl ester biosynthetic process from peptidyl-leucine
GO:0018440	BP	obsolete peptidyl-L-leucine methyl ester biosynthetic process from peptidyl-leucine
GO:0018442	BP	obsolete peptidyl-glutamic acid esterification
GO:0018512	MF	obsolete 1,6-dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate dehydrogenase activity 
GO:0018587	MF	obsolete limonene 8-monooxygenase activity
GO:0018704	MF	obsolete 5-chloro-2-hydroxymuconic semialdehyde dehalogenase activity
GO:0018779	MF	obsolete 2-chloro-4,6-dihydroxy-1,3,5-triazine hydrolase activity 
GO:0018853	MF	obsolete perillyl-CoA synthetase activity
GO:0018927	BP	obsolete methionine and threonine metabolic process
GO:0018981	BP	obsolete triethanolamine metabolic process
GO:0018987	BP	obsolete water homeostasis
GO:0018988	BP	obsolete molting cycle, protein-based cuticle 
GO:0018997	MF	obsolete electron transfer carrier
GO:0018998	CC	obsolete metaxin
GO:0019000	MF	obsolete endonuclease G activity
GO:0019011	MF	obsolete DNA replication accessory factor
GO:0019012	CC	virion
GO:0019013	CC	viral nucleocapsid
GO:0019014	CC	viral nucleocapsid
GO:0019015	CC	obsolete viral genome
GO:0019016	CC	obsolete non-segmented viral genome
GO:0019017	CC	obsolete segmented viral genome
GO:0019018	CC	obsolete bipartite viral genome
GO:0019019	CC	obsolete tripartite viral genome
GO:0019020	CC	obsolete multipartite viral genome
GO:0019021	CC	obsolete DNA viral genome
GO:0019022	CC	obsolete RNA viral genome
GO:0019023	CC	obsolete dsRNA viral genome
GO:0019024	CC	obsolete ssRNA viral genome
GO:0019025	CC	obsolete positive sense viral genome
GO:0019026	CC	obsolete negative sense viral genome
GO:0019027	CC	obsolete ambisense viral genome
GO:0019028	CC	viral capsid
GO:0019029	CC	helical viral capsid
GO:0019030	CC	icosahedral viral capsid
GO:0019031	CC	viral envelope
GO:0019032	CC	obsolete viral glycoprotein
GO:0019033	CC	viral tegument
GO:0019034	CC	viral replication complex
GO:0019035	CC	viral integration complex
GO:0019036	CC	viral transcriptional complex
GO:0019037	CC	obsolete viral assembly intermediate
GO:0019038	CC	obsolete provirus
GO:0019039	MF	obsolete viral-cell fusion molecule activity
GO:0019040	MF	obsolete viral host shutoff protein
GO:0019042	BP	viral latency
GO:0019043	BP	establishment of viral latency
GO:0019044	BP	maintenance of viral latency
GO:0019045	BP	latent virus replication
GO:0019046	BP	release from viral latency
GO:0019048	BP	modulation by virus of host process
GO:0019049	BP	mitigation of host defenses by virus
GO:0019050	BP	suppression by virus of host apoptotic process
GO:0019051	BP	induction by virus of host apoptotic process
GO:0019054	BP	modulation by virus of host cellular process
GO:0019055	BP	modification by virus of host cell cycle regulation
GO:0019056	BP	modulation by virus of host transcription
GO:0019057	BP	modulation by virus of host translation
GO:0019058	BP	viral life cycle
GO:0019059	BP	obsolete initiation of viral infection
GO:0019060	BP	intracellular transport of viral protein in host cell
GO:0019061	BP	uncoating of virus
GO:0019062	BP	virion attachment to host cell
GO:0019063	BP	viral entry into host cell
GO:0019064	BP	fusion of virus membrane with host plasma membrane
GO:0019065	BP	receptor-mediated endocytosis of virus by host cell
GO:0019066	BP	obsolete translocation of virus into host cell
GO:0019067	BP	viral life cycle
GO:0019068	BP	virion assembly
GO:0019069	BP	viral capsid assembly
GO:0019070	BP	viral genome maturation
GO:0019071	BP	viral DNA cleavage involved in viral genome maturation
GO:0019072	BP	viral genome packaging
GO:0019073	BP	viral DNA genome packaging
GO:0019074	BP	viral RNA genome packaging
GO:0019075	BP	virus maturation
GO:0019076	BP	viral release from host cell
GO:0019078	BP	obsolete lytic viral budding
GO:0019079	BP	viral genome replication
GO:0019080	BP	viral gene expression
GO:0019081	BP	viral translation
GO:0019082	BP	viral protein processing
GO:0019083	BP	viral transcription
GO:0019084	BP	middle viral transcription
GO:0019085	BP	early viral transcription
GO:0019086	BP	late viral transcription
GO:0019087	BP	transformation of host cell by virus
GO:0019089	BP	obsolete transmission of virus
GO:0019127	BP	obsolete peptidyl-asparagine racemization
GO:0019131	MF	obsolete tripeptidyl-peptidase I activity
GO:0019132	MF	obsolete C-terminal processing peptidase activity
GO:0019204	MF	obsolete nucleotide phosphatase activity
GO:0019214	MF	obsolete surfactant activity
GO:0019268	BP	obsolete glutamate biosynthetic process, using glutamate dehydrogenase (NAD(P)+) 
GO:0019269	BP	obsolete glutamate biosynthetic process, using glutamate synthase (NADPH) 
